trade_date_year_mo,delivery_year_mo,weighted_avg_price,total_transacted_quantity
2017-04,2021-11,,
2017-05,2021-11,,
2017-06,2021-11,,
2017-07,2021-11,,
2017-08,2021-11,,
2017-09,2021-11,,
2017-10,2021-11,,
2017-11,2021-11,,
2017-12,2021-11,,
2018-01,2021-11,,
2018-02,2021-11,,
2018-03,2021-11,,
2018-04,2021-11,,
2018-05,2021-11,,
2018-06,2021-11,,
2018-07,2021-11,,
2018-08,2021-11,4.55,150.0
2018-09,2021-11,,
2018-10,2021-11,,
2018-11,2021-11,,
2018-12,2021-11,,
2019-01,2021-11,,
2019-02,2021-11,,
2019-03,2021-11,4.5,20.0002
2019-04,2021-11,,
2019-05,2021-11,4.861520124804992,641.0
2019-06,2021-11,5.621621621621622,555.0
2019-07,2021-11,5.572108930839795,385.0003
2019-08,2021-11,6.07637316195732,1717.86
2019-09,2021-11,5.9576931080852935,247.0003
2019-10,2021-11,10.96869928850658,2586.5805
2019-11,2021-11,6.319019685822232,1005.8
2019-12,2021-11,,
2020-01,2021-11,6.892876712328767,146.0
2020-02,2021-11,6.011738648947953,1128.7499999999998
2020-03,2021-11,6.775994250119788,208.7
2020-04,2021-11,6.064987937273824,1658.0
2020-05,2021-11,6.15100293255132,13.64
2020-06,2021-11,6.575506560844155,439.73
2020-07,2021-11,6.7800477897252085,209.25
2020-08,2021-11,6.716021959217957,1119.12
2020-09,2021-11,6.446700310322997,357.6306
2020-10,2021-11,7.078074182187836,708.7202
2020-11,2021-11,7.35,97.0
2020-12,2021-11,6.5,1.0
2021-01,2021-11,4.870895522388059,67.0
2021-02,2021-11,,
2021-03,2021-11,7.375,8.0
2021-04,2021-11,7.915668602710461,149.79000000000002
2021-05,2021-11,3.9910528941078263,1029.2602
2021-06,2021-11,9.24992500449973,10.0006
2021-07,2021-11,6.69,23.85
2021-08,2021-11,10.0,6.25
2021-09,2021-11,4.558208075567942,124.3702
2021-10,2021-11,,
2021-11,2021-11,7.238096112357863,832.83
2021-12,2021-11,,
2022-01,2021-11,,
2022-02,2021-11,,
2022-03,2021-11,,
2022-04,2021-11,,
2022-05,2021-11,,
2022-06,2021-11,,
2022-07,2021-11,,
2022-08,2021-11,,
2022-09,2021-11,,
2022-10,2021-11,,
2022-11,2021-11,,
2022-12,2021-11,,
2023-01,2021-11,,
2023-02,2021-11,,
2023-03,2021-11,,
2023-04,2021-11,,
2023-05,2021-11,,
2023-06,2021-11,,
2023-07,2021-11,,
2023-08,2021-11,,
2023-09,2021-11,,
2023-10,2021-11,,
2023-11,2021-11,,
2023-12,2021-11,,
2024-01,2021-11,,
2024-02,2021-11,,
2024-03,2021-11,,
2024-04,2021-11,,
2024-05,2021-11,,
2024-06,2021-11,,
2024-07,2021-11,,
2024-08,2021-11,,
2024-09,2021-11,,
2024-10,2021-11,,
2024-11,2021-11,,
2024-12,2021-11,,
2013-01,2021-12,,
2013-02,2021-12,,
2013-03,2021-12,,
2013-04,2021-12,,
2013-05,2021-12,,
2013-06,2021-12,,
2013-07,2021-12,,
2013-08,2021-12,,
2013-09,2021-12,,
2013-10,2021-12,,
2013-11,2021-12,,
2013-12,2021-12,8.19,212.1
2014-01,2021-12,,
2014-02,2021-12,,
2014-03,2021-12,,
2014-04,2021-12,,
2014-05,2021-12,,
2014-06,2021-12,,
2014-07,2021-12,,
2014-08,2021-12,,
2014-09,2021-12,,
2014-10,2021-12,,
2014-11,2021-12,,
2014-12,2021-12,,
2015-01,2021-12,4.22,230.0
2015-02,2021-12,,
2015-03,2021-12,,
2015-04,2021-12,4.22,20.0
2015-05,2021-12,,
2015-06,2021-12,11.472431,527.5
2015-07,2021-12,,
2015-08,2021-12,,
2015-09,2021-12,,
2015-10,2021-12,6.39,128.0
2015-11,2021-12,,
2015-12,2021-12,,
2016-01,2021-12,,
2016-02,2021-12,,
2016-03,2021-12,,
2016-04,2021-12,,
2016-05,2021-12,,
2016-06,2021-12,,
2016-07,2021-12,,
2016-08,2021-12,,
2016-09,2021-12,,
2016-10,2021-12,,
2016-11,2021-12,,
2016-12,2021-12,,
2017-01,2021-12,,
2017-02,2021-12,,
2017-03,2021-12,,
2017-04,2021-12,,
2017-05,2021-12,,
2017-06,2021-12,,
2017-07,2021-12,,
2017-08,2021-12,,
2017-09,2021-12,,
2017-10,2021-12,,
2017-11,2021-12,,
