Model,MAE_t+1,MAE_t+2,RMSE_t+1,RMSE_t+2,R2_t+1,R2_t+2
SVR_baseline,7.602560955550226,8.437206608008605,13.69683493184212,14.136261861767023,0.07142067380932149,0.011846584309590291
SVR_tuned,5.3124337506037165,6.740885841501138,9.471381751523621,10.880403297409401,0.5559772219315479,0.414610133831679
RandomForest,5.401744572803704,6.637012826126456,9.488892232205346,10.738715589699625,0.5543339053270759,0.42975709029447706
